name                      ,slug                   ,description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,assets                                         ,facets                                                                          ,optionGroups     ,optionValues       ,sku           ,price  ,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,Size 46            ,RS0046        ,99.99  ,standard   ,100        ,              ,             ,
Freerun Running Shoe      ,freerun-running-shoe   ,"The Freerun Men's Running Shoe is built for record-breaking speed. The Flyknit upper delivers ultra-lightweight support that fits like a glove."                                                                                                                                                                                                                                                                                                                                            ,imani-clovis-234736-unsplash.jpg               ,category:Sports & Outdoor|category:Footwear|brand:Nike|color:black              ,size             ,Size 40            ,AR4561-40     ,160.00 ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,Size 42            ,AR4561-42     ,160.00 ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,Size 44            ,AR4561-44     ,160.00 ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,Size 46            ,AR4561-46     ,160.00 ,standard   ,100        ,              ,             ,
Hi-Top Basketball Shoe    ,hi-top-basketball-shoe ,"Boasting legendary performance since 2008, the Hyperdunkz Basketball Shoe needs no gimmicks to stand out. Air units deliver best-in-class cushioning, while a dynamic lacing system keeps your foot snug and secure, so you can focus on your game and nothing else."                                                                                                                                                                                                                       ,xavier-teo-469050-unsplash.jpg                 ,category:Sports & Outdoor|category:Footwear|brand:Nike|color:white              ,size             ,Size 40            ,AO7893-40     ,140.00 ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,Size 42            ,AO7893-42     ,140.00 ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,Size 44            ,AO7893-44     ,140.00 ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,Size 46            ,AO7893-46     ,140.00 ,standard   ,100        ,              ,             ,
Pureboost Running Shoe    ,pureboost-running-shoe ,"Built to handle curbs, corners and uneven sidewalks, these natural running shoes have an expanded landing zone and a heel plate for added stability. A lightweight and stretchy knit upper supports your native stride."                                                                                                                                                                                                                                                                    ,thomas-serer-420833-unsplash.jpg               ,category:Sports & Outdoor|category:Footwear|brand:Adidas|color:white|color:black,size             ,Size 40            ,F3578640      ,99.95  ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,Size 42            ,F3578642      ,99.95  ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,Size 44            ,F3578644      ,99.95  ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,Size 46            ,F3578646      ,99.95  ,standard   ,100        ,              ,             ,
RunX Running Shoe         ,runx-running-shoe      ,"These running shoes are made with an airy, lightweight mesh upper. The durable rubber outsole grips the pavement for added stability. A cushioned midsole brings comfort to each step."                                                                                                                                                                                                                                                                                                     ,nikolai-chernichenko-1299748-unsplash.jpg      ,category:Sports & Outdoor|category:Footwear|brand:Adidas|color:black            ,size             ,Size 40            ,F3633340      ,44.95  ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,Size 42            ,F3633342      ,44.95  ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,Size 44            ,F3633344      ,44.95  ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,Size 46            ,F3633346      ,44.95  ,standard   ,100        ,              ,             ,
Allstar Sneakers          ,allstar-sneakers       ,"All Star is the most iconic sneaker in the world, recognised for its unmistakable silhouette, star-centred ankle patch and cultural authenticity. And like the best paradigms, it only gets better with time."                                                                                                                                                                                                                                                                              ,mitch-lensink-256007-unsplash.jpg              ,category:Sports & Outdoor|category:Footwear|brand:Converse|color:black          ,size             ,Size 40            ,CAS23340      ,65.00  ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,Size 42            ,CAS23342      ,65.00  ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,Size 44            ,CAS23344      ,65.00  ,standard   ,100        ,              ,             ,
                          ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                               ,                                                                                ,                 ,Size 46            ,CAS23346      ,65.00  ,standard   ,100        ,              ,             ,
Spiky Cactus              ,spiky-cactus           ,"A spiky yet elegant house cactus - perfect for the home or office. Origin and habitat: Probably native only to the Andes of Peru"                                                                                                                                                                                                                                                                                                                                                           ,charles-deluvio-695736-unsplash.jpg            ,category:Home & Garden|category:Plants|plant type:Indoor                        ,                 ,                   ,SC011001      ,15.50  ,standard   ,100        ,              ,             ,
Tulip Pot                 ,tulip-pot              ,"Bright crimson red species tulip with black centers, the poppy-like flowers will open up in full sun. Ideal for rock gardens, pots and border edging."                                                                                                                                                                                                                                                                                                                                      ,natalia-y-345738-unsplash.jpg                  ,category:Home & Garden|category:Plants|plant type:Outdoor|plant type:Indoor     ,                 ,                   ,A58477        ,6.75   ,standard   ,100        ,              ,             ,
Hanging Plant             ,hanging-plant          ,"Can be found in tropical and sub-tropical America where it grows on the branches of trees, but also on telephone wires and electricity cables and poles that sometimes topple with the weight of these plants. This plant loves a moist and warm air."                                                                                                                                                                                                                                      ,alex-rodriguez-santibanez-200278-unsplash.jpg  ,category:Home & Garden|category:Plants|plant type:Outdoor                       ,                 ,                   ,A44223        ,19.95  ,standard   ,100        ,              ,             ,
Aloe Vera                 ,aloe-vera              ,"Decorative Aloe vera makes a lovely house plant. A really trendy plant, Aloe vera is just so easy to care for. Aloe vera sap has been renowned for its remarkable medicinal and cosmetic properties for many centuries and has been used to treat grazes, insect bites and sunburn - it really works."                                                                                                                                                                                      ,silvia-agrasar-227575-unsplash.jpg             ,category:Home & Garden|category:Plants|plant type:Indoor                        ,                 ,                   ,A44352        ,6.99   ,standard   ,100        ,              ,             ,
Fern Blechnum Gibbum      ,fern-blechnum-gibbum   ,"Create a tropical feel in your home with this lush green tree fern, it has decorative leaves and will develop a short slender trunk in time."                                                                                                                                                                                                                                                                                                                                               ,caleb-george-536388-unsplash.jpg               ,category:Home & Garden|category:Plants|plant type:Outdoor                       ,                 ,                   ,A04851        ,8.95   ,standard   ,100        ,              ,             ,
Assorted Indoor Succulents,assorted-succulents    ,"These assorted succulents come in a variety of different shapes and colours - each with their own unique personality. Succulents grow best in plenty of light: a sunny windowsill would be the ideal spot for them to thrive!"                                                                                                                                                                                                                                                              ,annie-spratt-78044-unsplash.jpg                ,category:Home & Garden|category:Plants|plant type:Indoor                        ,                 ,                   ,A08593        ,32.50  ,standard   ,100        ,              ,             ,
Orchid                    ,orchid                 ,"Gloriously elegant. It can go along with any interior as it is a neutral color and the most popular Phalaenopsis overall. 2 to 3 foot stems host large white flowers that can last for over 2 months."                                                                                                                                                                                                                                                                                      ,zoltan-kovacs-642412-unsplash.jpg              ,category:Home & Garden|category:Plants                                          ,                 ,                   ,ROR00221      ,65.00  ,standard   ,100        ,              ,             ,
Bonsai Tree               ,bonsai-tree            ,"Excellent semi-evergreen bonsai. Indoors or out but needs some winter protection. All trees sent will leave the nursery in excellent condition and will be of equal quality or better than the photograph shown."                                                                                                                                                                                                                                                                           ,mark-tegethoff-667351-unsplash.jpg             ,category:Home & Garden|category:Plants                                          ,                 ,                   ,B01MXFLUSV    ,19.99  ,standard   ,100        ,              ,             ,
Guardian Lion Statue      ,guardian-lion-statue   ,"Placing it at home or office can bring you fortune and prosperity, guard your house and ward off ill fortune."                                                                                                                                                                                                                                                                                                                                                                              ,vincent-liu-525429-unsplash.jpg                ,category:Home & Garden|category:Furniture|color:gray                            ,                 ,                   ,GL34LLW11     ,188.53 ,standard   ,100        ,              ,             ,
Hand Trowel               ,hand-trowel            ,"Hand trowel for garden cultivating hammer finish epoxy-coated head for improved resistance to rust, scratches, humidity and alkalines in the soil."                                                                                                                                                                                                                                                                                                                                         ,neslihan-gunaydin-3493-unsplash.jpg            ,category:Home & Garden|category:Plants                                          ,                 ,                   ,4058NB/09     ,4.99   ,standard   ,100        ,              ,             ,
Balloon Chair             ,balloon-chair          ,"A charming vintage white wooden chair featuring an extremely spherical pink balloon. The balloon may be detached and used for other purposes, for example as a party decoration."                                                                                                                                                                                                                                                                                                           ,florian-klauer-14840-unsplash.jpg              ,category:Home & Garden|category:Furniture                                       ,                 ,                   ,34-BC82444    ,65.00  ,standard   ,100        ,              ,             ,
Grey Fabric Sofa          ,grey-fabric-sofa       ,"Seat cushions filled with high resilience foam and polyester fibre wadding give comfortable support for your body, and easily regain their shape when you get up. The cover is easy to keep clean as it is removable and can be machine washed."                                                                                                                                                                                                                                            ,nathan-fertig-249917-unsplash.jpg              ,category:Home & Garden|category:Furniture|color:gray                            ,                 ,                   ,CH00001-12    ,295.00 ,standard   ,100        ,              ,             ,
Leather Sofa              ,leather-sofa           ,"This premium, tan-brown bonded leather seat is part of the 'chill' sofa range. The lever activated recline feature makes it easy to adjust to any position. This smart, bustle back design with rounded tight padded arms has been designed with your comfort in mind. This well-padded chair has foam pocket sprung seat cushions and fibre-filled back cushions."                                                                                                                         ,paul-weaver-1120584-unsplash.jpg               ,category:Home & Garden|category:Furniture|color:brown                           ,                 ,                   ,CH00001-02    ,1245.00,standard   ,100        ,              ,             ,
Light Shade               ,light-shade            ,"Modern tapered white polycotton pendant shade with a metallic silver chrome interior finish for maximum light reflection. Reversible gimble so it can be used as a ceiling shade or as a lamp shade."                                                                                                                                                                                                                                                                                       ,pierre-chatel-innocenti-483198-unsplash.jpg    ,category:Home & Garden|category:Furniture                                       ,                 ,                   ,B45809LSW     ,28.45  ,standard   ,100        ,              ,             ,
Wooden Side Desk          ,wooden-side-desk       ,"Drawer stops prevent the drawers from being pulled out too far. Built-in cable management for collecting cables and cords; out of sight but close at hand."                                                                                                                                                                                                                                                                                                                                 ,abel-y-costa-716024-unsplash.jpg               ,category:Home & Garden|category:Furniture|color:wood                            ,                 ,                   ,304.096.29    ,125.00 ,standard   ,100        ,              ,             ,
Comfy Padded Chair        ,comfy-padded-chair     ,"You sit comfortably thanks to the shaped back. The chair frame is made of solid wood, which is a durable natural material."                                                                                                                                                                                                                                                                                                                                                                 ,kari-shea-398668-unsplash.jpg                  ,category:Home & Garden|category:Furniture|color:gray                            ,                 ,                   ,404.068.14    ,130.00 ,standard   ,100        ,              ,             ,
Black Eaves Chair         ,black-eaves-chair      ,"Comfortable to sit on thanks to the bowl-shaped seat and rounded shape of the backrest. No tools are required to assemble the chair, you just click it together with a simple mechanism under the seat."                                                                                                                                                                                                                                                                                    ,andres-jasso-220776-unsplash.jpg               ,category:Home & Garden|category:Furniture|color:black                           ,                 ,                   ,003.600.02    ,70.00  ,standard   ,100        ,              ,             ,
Wooden Stool              ,wooden-stool           ,"Solid wood is a hardwearing natural material, which can be sanded and surface treated as required."                                                                                                                                                                                                                                                                                                                                                                                         ,ruslan-bardash-351288-unsplash.jpg             ,category:Home & Garden|category:Furniture|color:wood                            ,                 ,                   ,202.493.30    ,14.00  ,standard   ,100        ,              ,             ,
Bedside Table             ,bedside-table          ,"Every table is unique, with varying grain pattern and natural colour shifts that are part of the charm of wood."                                                                                                                                                                                                                                                                                                                                                                            ,benjamin-voros-310026-unsplash.jpg             ,category:Home & Garden|category:Furniture|color:white                           ,                 ,                   ,404.290.14    ,130.00 ,standard   ,100        ,              ,             ,
Modern Cafe Chair         ,modern-cafe-chair      ,"You sit comfortably thanks to the restful flexibility of the seat. Lightweight and easy to move around, yet stable enough even for the liveliest, young family members."                                                                                                                                                                                                                                                                                                                    ,jean-philippe-delberghe-1400011-unsplash.jpg   ,category:Home & Garden|category:Furniture                                       ,color            ,mustard            ,404.038.96    ,100.00 ,standard   ,100        ,              ,             ,color:yellow
